lemma,lemmaCount,keywordSyn
venezuela,700,none
indígenas,329,none
bolívar,328,none
caracas,328,none
pueblo,311,none
tierra,309,none
escuela,299,none
trabajo,272,none
república,267,none
familia,264,none
tiempo,251,none
historia,248,none
llamado,247,none
después,246,none
primera,234,none
personas,224,none
venezolano,224,none
humanos,193,none
américa,189,none
derechos,188,none
nombre,186,none
pasado,186,none
educación,182,none
llegar,177,none
economía,174,none
conocer,173,none
espacio,172,none
españa,171,none
nacional,167,none
actual,165,none
aprender,163,none
cuento,162,none
español,161,none
comunidad,159,none
población,159,none
organización,158,none
general,156,none
ciudad,151,none
presidente,150,none
constitución,146,none
colonia,145,none
escribir,144,none
hombres,143,none
blanco,139,none
libertad,138,none
ustedes,138,none
independencia,137,none
territorio,137,none
alimentos,134,none
social,134,none
grandes,130,none
puerto,130,none
gobierno,127,none
cambio,126,none
entonces,126,none
guerra,124,none
maestra,124,none
habitantes,123,none
países,121,none
ciudades,120,none
construir,118,none
importante,118,none
observar,117,none
congreso,115,none
patriotas,113,none
política,113,none
ocurrió,112,none
preguntó,111,none
enseñanza,108,none
camino,107,none
productos,103,none
diferentes,101,none
existen,101,none
necesita,101,none
capital,100,none
cultura,100,none
dibujo,100,none
patria,100,none
pueden,100,none
caballo,98,none
fuente,98,none
muchas,97,none
provincia,96,none
colombia,95,none
varios,95,none
colonial,94,none
abuela,93,none
naturales,93,none
sociedad,93,none
agrícola,92,none
animales,92,none
caribe,91,none
esclavizados,91,none
información,91,none
parece,91,none
región,91,none
funciones,90,none
palabra,90,none
sugerencia,90,none
partir,88,none
